customer_profile_id,gender,median_purchasing_price
1,female,100.00
2,female,150.00
3,female,200.00
4,female,250.00
5,female,300.00
6,female,350.00
7,female,400.00
8,female,450.00
9,female,500.00
10,female,600.00
11,female,650.00
12,female,700.00
13,female,800.00
14,female,900.00
15,female,950.00
16,female,1000.00
17,female,1100.00
18,female,1200.00
19,female,1300.00
20,female,1400.00
21,female,1500.00
22,female,2000.00
23,female,2200.00
24,female,2500.00
25,female,2800.00
26,female,3000.00
27,female,4000.00
28,female,4500.00
29,female,5000.00
30,female,5500.00
31,female,6000.00
32,female,6500.00
33,female,7000.00
34,female,7500.00
35,female,8000.00
36,female,8500.00
37,female,9000.00
38,female,9500.00
39,female,9800.00
40,female,10000.00
41,female,10500.00
42,female,11000.00
43,female,12000.00
44,female,13000.00
45,female,14000.00
46,female,16000.00
47,female,18000.00
48,female,19000.00
49,male,100.00
50,male,150.00
51,male,200.00
52,male,250.00
53,male,300.00
54,male,350.00
55,male,400.00
56,male,450.00
57,male,500.00
58,male,550.00
59,male,600.00
60,male,650.00
61,male,700.00
62,male,750.00
63,male,800.00
64,male,900.00
65,male,950.00
66,male,1000.00
67,male,1100.00
68,male,1200.00
69,male,1300.00
70,male,1400.00
71,male,1500.00
72,male,1600.00
73,male,1700.00
74,male,1800.00
75,male,1900.00
76,male,2000.00
77,male,2500.00
78,male,2700.00
79,male,2900.00
80,male,3000.00
81,male,3100.00
82,male,3200.00
83,male,3300.00
84,male,3500.00
85,male,4000.00
86,male,4200.00
87,male,4500.00
88,male,5000.00
89,male,5500.00
90,male,6000.00
91,male,6500.00
92,male,7000.00
93,male,7500.00
94,male,8000.00
95,male,8500.00
96,male,9000.00
97,male,9500.00
98,male,10000.00
99,male,11000.00
100,male,12000.00
101,male,13000.00
102,male,13500.00
103,male,14000.00
104,male,14500.00
105,male,15000.00
