context_id,geographical_location,season,is_holiday
1,coastal,monsoon,No
2,coastal,monsoon,Yes
3,coastal,spring,No
4,coastal,spring,Yes
5,coastal,summer,No
6,coastal,summer,Yes
7,coastal,winter,No
8,coastal,winter,Yes
9,mountains,monsoon,No
10,mountains,monsoon,Yes
11,mountains,spring,No
12,mountains,spring,Yes
13,mountains,summer,No
14,mountains,summer,Yes
15,mountains,winter,No
16,mountains,winter,Yes
17,plains,monsoon,No
18,plains,monsoon,Yes
19,plains,spring,No
20,plains,spring,Yes
21,plains,summer,No
22,plains,summer,Yes
23,plains,winter,No
24,plains,winter,Yes
