recommendation_id,product_id,customer_profile_id,context_id,clicks_on_similar_products,similar_products_purchased,avg_rating_given_to_similar_products,recommendation_probability
1,794,1,6,6,2,2.70,0.0500
2,572,1,23,10,7,3.40,0.5000
3,483,1,21,30,19,5.00,1.0000
4,472,1,6,5,1,3.10,0.1500
5,453,1,21,9,6,3.30,0.5000
6,451,1,9,10,3,2.90,0.2100
7,444,1,5,4,0,2.00,0.0300
8,440,1,5,3,1,1.50,0.0250
9,439,1,5,3,1,1.50,0.0250
10,439,1,5,2,1,1.30,0.0150
11,433,1,20,11,5,4.20,0.8000
12,419,1,5,7,2,2.20,0.1500
13,417,1,5,2,0,1.50,0.0250
14,416,1,5,2,0,1.00,0.0000
15,403,1,5,25,7,3.50,0.1100
16,370,1,23,26,11,4.20,0.9000
17,364,1,22,10,5,3.00,0.1000
18,364,1,22,10,5,3.00,0.1000
19,240,1,5,6,1,2.10,0.1000
20,231,1,5,3,0,2.20,0.0500
21,102,1,19,5,2,2.80,0.2500
22,73,1,14,11,1,2.70,0.3000
23,50,1,21,9,4,3.30,0.3000
24,49,1,1,34,13,4.50,0.8800
25,29,1,5,1,0,1.00,0.0000
26,29,1,5,1,0,1.00,0.0000
27,29,1,5,2,0,1.00,0.0000
28,2,1,5,5,1,2.90,0.0700
29,429,2,22,14,3,3.20,0.1800
30,799,3,19,7,5,2.90,0.3500
31,798,3,19,6,5,2.80,0.3500
32,792,3,19,6,4,2.60,0.3500
33,791,3,19,7,4,2.70,0.3500
34,787,3,19,6,2,2.50,0.3000
35,787,3,19,6,3,2.50,0.3000
36,786,3,19,6,1,2.50,0.3000
37,786,3,19,7,3,2.50,0.3000
38,785,3,19,6,1,2.50,0.3000
39,785,3,19,7,3,2.50,0.3000
40,710,3,13,10,2,3.90,0.3000
41,578,3,15,15,6,3.50,0.4200
42,551,3,23,27,12,4.70,1.0000
43,448,3,5,4,2,2.20,0.0250
44,446,3,5,4,1,2.00,0.0300
45,445,3,5,4,1,2.00,0.0300
46,443,3,2,38,15,4.60,0.9500
47,432,3,20,16,5,3.20,0.3200
48,425,3,17,8,3,4.00,0.3300
49,400,3,13,8,3,2.90,0.0500
50,377,3,18,15,6,3.60,0.0500
51,234,3,3,6,1,3.30,0.2000
52,230,3,13,19,5,3.30,0.1200
53,164,3,15,7,2,3.70,0.5000
54,118,3,19,5,5,2.80,0.3000
55,117,3,19,5,4,2.70,0.3000
56,116,3,19,5,3,2.50,0.3000
57,115,3,19,5,2,2.30,0.3000
58,101,3,19,8,2,2.80,0.2500
59,74,3,6,8,2,3.00,0.4000
60,72,3,14,9,2,2.90,0.3000
61,431,4,17,10,0,3.70,0.0500
62,229,4,5,7,1,3.30,0.1000
63,810,5,17,6,0,3.00,0.0500
64,801,5,19,7,6,3.00,0.5000
65,800,5,19,7,7,3.00,0.5000
66,781,5,19,11,4,3.40,0.4000
67,748,5,19,9,6,3.10,0.5000
68,748,5,19,9,7,3.10,0.5000
69,701,5,3,11,1,3.00,0.0500
70,688,5,3,9,1,3.00,0.0500
71,504,5,19,14,6,3.70,0.5500
72,479,5,21,29,17,4.90,1.0000
73,473,5,23,25,13,4.60,1.0000
74,473,5,23,25,13,4.60,1.0000
75,473,5,23,25,13,4.60,1.0000
76,473,5,23,25,13,4.60,1.0000
77,473,5,23,25,13,4.60,1.0000
78,473,5,23,25,13,4.60,1.0000
79,473,5,23,25,13,4.60,1.0000
80,473,5,23,25,13,4.60,1.0000
81,473,5,23,25,13,4.60,1.0000
82,473,5,23,25,13,4.60,1.0000
83,473,5,23,25,13,4.60,1.0000
84,473,5,23,25,13,4.60,1.0000
85,473,5,23,25,13,4.60,1.0000
86,473,5,23,25,13,4.60,1.0000
87,473,5,23,25,13,4.60,1.0000
88,473,5,23,25,13,4.60,1.0000
89,473,5,23,25,13,4.60,1.0000
90,473,5,23,25,13,4.60,1.0000
91,468,5,23,21,10,4.40,0.9000
92,460,5,19,8,3,3.00,0.2200
93,457,5,21,26,13,4.50,0.9000
94,457,5,21,26,13,4.50,0.9000
95,418,5,20,10,4,3.90,0.6000
96,399,5,5,16,7,3.70,0.8000
97,354,5,22,21,14,4.80,1.0000
98,233,5,5,7,1,3.20,0.0500
99,232,5,3,8,1,3.10,0.0500
100,169,5,23,15,5,3.80,0.5000
101,146,5,24,8,2,3.90,0.4500
102,131,5,21,20,5,4.30,0.9000
103,122,5,8,41,13,4.70,0.8300
104,112,5,19,8,7,3.10,0.3500
105,111,5,19,8,6,3.00,0.3500
106,110,5,19,8,5,3.00,0.3500
107,108,5,19,8,4,3.00,0.3500
108,107,5,19,8,3,3.00,0.3500
109,81,5,21,6,1,2.80,0.1000
110,75,5,14,10,2,2.70,0.3000
111,1,5,21,35,14,4.50,0.8200
112,691,6,3,9,2,3.20,0.0500
113,687,6,3,12,1,3.00,0.0500
114,784,7,22,17,14,4.80,1.0000
115,783,7,22,17,13,4.70,1.0000
116,780,7,22,17,12,4.60,0.9000
117,746,7,19,9,4,3.20,0.4000
118,740,7,19,9,3,3.20,0.4500
119,739,7,19,9,2,3.30,0.4500
120,702,7,21,13,5,3.60,0.4500
121,694,7,3,12,3,3.20,0.0500
122,692,7,3,10,3,3.20,0.0500
123,690,7,1,12,0,3.20,0.0500
124,604,7,23,28,13,4.80,1.0000
125,538,7,21,7,3,3.00,0.1000
126,490,7,23,15,5,3.80,0.6500
127,487,7,21,15,7,3.80,0.7000
128,457,7,21,25,13,4.50,0.9000
129,422,7,23,12,4,3.50,0.6000
130,345,7,23,31,12,4.80,0.9000
131,336,7,24,15,6,3.50,0.6000
132,327,7,21,9,4,4.10,0.6800
133,302,7,10,11,4,3.10,0.3500
134,237,7,21,16,8,3.80,0.8000
135,237,7,21,16,8,3.80,0.8000
136,237,7,21,16,8,3.80,0.8000
137,237,7,21,16,8,3.80,0.8000
138,237,7,21,16,8,3.80,0.8000
139,237,7,21,16,8,3.80,0.8000
140,237,7,21,16,8,3.80,0.8000
141,237,7,21,16,8,3.80,0.8000
142,237,7,21,16,8,3.80,0.8000
143,237,7,21,16,8,3.80,0.8000
144,237,7,21,16,8,3.80,0.8000
145,237,7,21,16,8,3.80,0.8000
146,237,7,21,16,8,3.80,0.8000
147,237,7,21,16,8,3.80,0.8000
148,237,7,21,16,8,3.80,0.8000
149,237,7,21,16,8,3.80,0.8000
150,237,7,21,16,8,3.80,0.8000
151,237,7,21,16,8,3.80,0.8000
152,187,7,21,22,9,4.50,0.9000
153,166,7,14,10,3,3.40,0.6000
154,127,7,21,14,5,3.60,0.4800
155,84,7,23,5,2,2.90,0.1000
156,5,7,18,25,5,3.80,0.3000
157,693,8,3,13,1,3.10,0.0500
158,693,8,3,13,2,3.10,0.0500
159,686,8,1,13,0,3.00,0.0500
160,844,9,23,34,19,5.00,1.0000
161,843,9,13,42,15,4.80,0.8600
162,838,9,1,6,2,4.50,0.6200
163,821,9,21,24,11,4.30,0.9000
164,807,9,22,28,15,4.80,1.0000
165,807,9,22,28,15,4.80,1.0000
166,744,9,19,10,4,3.30,0.4000
167,729,9,1,16,5,3.90,0.5000
168,688,9,1,14,1,3.00,0.0500
169,686,9,1,14,0,3.00,0.0500
170,685,9,1,15,0,3.00,0.0500
171,533,9,23,29,12,4.60,0.9500
172,500,9,19,15,6,3.60,0.4500
173,489,9,23,14,6,3.60,0.6000
174,447,9,21,15,8,3.90,0.8000
175,447,9,21,15,8,3.90,0.8000
176,447,9,21,15,8,3.90,0.8000
177,447,9,21,15,8,3.90,0.8000
178,447,9,21,15,8,3.90,0.8000
179,447,9,21,15,8,3.90,0.8000
180,447,9,21,15,8,3.90,0.8000
181,447,9,21,15,8,3.90,0.8000
182,447,9,21,15,8,3.90,0.8000
183,447,9,21,15,8,3.90,0.8000
184,447,9,21,15,8,3.90,0.8000
185,447,9,21,15,8,3.90,0.8000
186,447,9,21,15,8,3.90,0.8000
187,447,9,21,15,8,3.90,0.8000
188,447,9,21,15,8,3.90,0.8000
189,447,9,21,15,8,3.90,0.8000
190,447,9,21,15,8,3.90,0.8000
191,447,9,21,15,8,3.90,0.8000
192,371,9,21,20,13,4.50,0.9000
193,269,9,5,17,7,3.80,0.8000
194,165,9,14,12,3,3.70,0.6000
195,128,9,1,14,5,3.90,0.3000
196,82,9,21,7,1,2.60,0.1000
197,76,9,14,11,3,2.60,0.3000
198,70,9,10,6,2,2.50,0.0500
199,844,10,23,33,17,4.90,1.0000
200,842,10,23,31,15,4.70,1.0000
201,842,10,23,31,15,4.70,1.0000
202,842,10,23,31,15,4.70,1.0000
203,842,10,23,31,15,4.70,1.0000
204,842,10,23,31,15,4.70,1.0000
205,842,10,23,31,15,4.70,1.0000
206,842,10,23,31,15,4.70,1.0000
207,842,10,23,31,15,4.70,1.0000
208,842,10,23,31,15,4.70,1.0000
209,842,10,23,31,15,4.70,1.0000
210,842,10,23,31,15,4.70,1.0000
211,842,10,23,31,15,4.70,1.0000
212,842,10,23,31,15,4.70,1.0000
213,842,10,23,31,15,4.70,1.0000
214,842,10,23,31,15,4.70,1.0000
215,842,10,23,31,15,4.70,1.0000
216,842,10,23,31,15,4.70,1.0000
217,842,10,23,31,15,4.70,1.0000
218,842,10,23,31,15,4.70,1.0000
219,750,10,19,10,5,3.30,0.5000
220,750,10,19,10,6,3.20,0.5000
221,749,10,19,9,5,3.20,0.5000
222,749,10,19,10,7,3.20,0.5000
223,749,10,19,10,7,3.20,0.5000
224,658,10,12,22,8,4.60,0.6000
225,622,10,19,11,5,3.40,0.5000
226,620,10,19,12,5,3.40,0.5000
